Genotype,Seed_yield_g.plot_2023,Seed_yield_g.plot_2024,Seed_yield_kg.ha_2023,Seed_yield_kg.ha_2024
X011TH39-sp-5,283.1582208,162.068641,3017.234419,2358.114388
X011TH40-sp-2,114.3168596,175.1141268,1857.667787,2053.313074
96A4580,296.3552627,99.87861669,2876.742498,1475.722841
FLIP03-27C,240.2394944,184.3615805,2946.480024,2136.760257
FLIP05-10C,132.0955414,166.6029861,2343.509918,1963.809648
FLIP05-19C,154.000877,210.1532265,2479.49295,2355.224777
FLIP06-165C,266.4600933,234.1732008,3065.004338,2573.299385
FLIP07-13C,252.3576501,174.0420774,2481.337649,1930.310652
FLIP07-241C,206.3058826,203.0497996,2894.985419,2395.997075
FLIP07-250C,165.1814194,213.9791483,3147.222565,2153.552002
FLIP07-256C,330.1169702,187.1273553,2979.036625,2183.063529
FLIP07-282C,282.2948505,132.1373821,2990.661164,1732.601331
FLIP08-251C,216.483209,172.7672203,2979.444082,1844.917766
FLIP09-335C,214.8560072,130.2040556,3472.439861,1652.407364
FLIP89-82C,257.4781016,159.6512863,2866.066789,2294.380166
FLIP97-266C,245.4298195,202.1842559,3260.046825,2108.619898
Ghab4,291.9835738,176.7190682,3134.011996,2178.911985
IG124049,342.839133,165.4709853,3052.8263,1981.441623
IG132879,298.566988,177.3000353,2768.782533,1903.950098
IG6320,324.5969926,177.3841088,3441.658788,2050.301058
NCS-0529,289.3634083,160.5917624,3380.674813,1848.273489
S100473,282.5904272,237.0497148,2909.050977,2270.526419
S100884,312.2562884,249.3702757,3030.128471,2547.081497
S140135,332.5048067,201.4309802,3062.049025,2045.701855
S140463,230.4119446,159.7656322,2665.539726,1826.996991
S140420,387.6288601,187.5122979,2914.445042,2194.466578
S140513,256.7063679,209.3624356,3172.443884,2218.231209
S140537,419.8617539,273.4598176,3486.12421,2598.558609
S140723,383.3184996,292.8063778,3437.281818,2716.128934
S140761,292.2372185,253.7365434,3263.194905,2408.394865
S140233,237.5829176,159.2364927,2806.221825,1861.374955
FLIP09-289C,281.1197318,144.1002379,3112.957414,1997.085713
S140733,259.2174998,186.6733746,2508.636945,2083.385244
FLIP09-290C,257.5041656,185.3609552,2632.668928,2031.810682
S100053,198.5640058,155.3588863,2499.405006,1893.27962
FLIP09-310C,249.3076898,166.5739164,2823.528338,1887.517124
FLIP06-40C,335.3367092,192.5209327,3035.652333,2048.812118
S100506,207.9497077,131.5968402,2486.847126,1767.644403
S100480,144.1921314,151.2398733,1991.257781,1848.132158
S100510,262.2604251,292.9502755,3071.024802,2542.730694
S100827,130.5974789,176.9941289,2545.443505,1962.597367
S101176,372.4237593,209.7652701,3248.73307,2213.466108
FLIP10-206C,184.1206388,146.0886109,2945.197026,1676.85174
FLIP10-208C,222.3020976,252.077512,2463.501819,2420.95855
FLIP10-260C,341.2379537,163.6862274,3116.465155,1942.567518
Sel.95TH1716,196.4583879,104.8701316,2556.965788,1550.130933
ILC72,204.9935922,151.7067783,2301.17653,1837.215612
ILC1799,154.5635343,199.6372009,2021.182573,2066.80099
Sel.96TH11439,171.5817374,105.5302342,2118.947315,2069.686071
Azad,272.8554496,126.7915167,2761.597525,1624.141773
Hashem,254.0200402,188.2560344,2532.534638,1955.960695
Jam,282.5001653,152.4722276,2688.713444,1858.670257
Saeid,218.56418,178.241152,2646.856854,2486.269638
Mansour,201.5663861,148.2687108,2565.670666,1792.370808
ILWC109,141.655096,112.528707,1858.475408,1886.225921
ILWC112,118.9255864,104.4444648,1899.640544,1588.038994
ILWC114,97.49528294,75.44096463,1576.335471,1614.789284
ILWC115,105.3452287,98.89159145,1488.457575,2137.708854
ILWC116,167.5856669,83.07145292,2049.17684,1526.344201
ILWC117,155.0718087,113.5644552,1866.909835,1451.276328
